time,battery,height,ax,ay,az,roll,pitch,yaw
1742750902.4409165,79,10,0.25479999999999997,0.3822,-0.1176,-1,1,-6
1742750902.9431133,79,10,0.25479999999999997,0.2352,-0.1764,-1,1,-7
1742750903.4458718,79,10,0.3724,0.0686,-0.441,0,0,-7
1742750903.9483528,79,10,0.833,0.1764,1.2446,-6,7,-10
1742750904.4507325,79,10,0.48019999999999996,-0.34299999999999997,-0.147,-1,4,-8
1742750904.9524825,79,31,-0.34299999999999997,-0.8722,-0.2842,3,-1,-22
1742750905.4539568,79,33,0.3528,0.0196,0.0784,2,-1,-16
1742750905.9559352,79,33,0.9408,0.20579999999999998,0.0294,-4,6,0
1742750906.458541,79,10,-0.9408,0.196,-0.4018,-1,-6,-34
1742750906.9602911,79,35,0.6272,2.0874,-0.5586,-10,0,-13
1742750907.461793,79,38,-0.9309999999999999,-0.0392,0.5488,-8,1,-14
1742750907.963885,79,37,-1.1074,-0.5488,0.588,2,-9,-37
1742750908.4651601,79,10,0.0882,-0.0784,-0.784,-4,9,-2
1742750908.966642,79,39,1.2838,0.6272,-0.25479999999999997,0,3,-25
1742750909.4685385,79,10,0.0,0.0392,0.0686,-1,0,-37
1742750909.970045,79,10,0.1176,0.34299999999999997,0.3626,-2,0,-35
1742750910.4710937,79,10,0.4704,2.548,0.196,-4,0,-28
1742750910.9726257,79,66,4.655,2.2736,1.568,-15,26,17
1742750911.4737978,79,67,5.448799999999999,2.3324,1.666,-15,31,15
1742750911.9753659,79,67,4.5178,2.7243999999999997,1.274,-18,26,11
1742750912.4772182,79,67,4.2825999999999995,2.0874,1.1368,-16,26,13
1742750912.9792888,79,70,4.0376,2.695,1.2544,-18,24,11
1742750913.4814668,79,70,1.813,2.1755999999999998,0.6859999999999999,-15,12,-3
1742750913.9830937,79,30,-0.5488,-0.0098,0.098,0,-1,-51
1742750914.4855118,79,10,0.43119999999999997,0.9995999999999999,2.8125999999999998,-6,1,-53
1742750914.987093,79,10,-0.6174,0.8231999999999999,-2.3324,-7,-3,-56
1742750915.4885223,79,10,-0.12739999999999999,0.0196,-0.2352,-1,-1,-43
1742750915.990229,79,10,0.0,-0.0588,-0.0098,0,0,-40
1742750916.4936821,79,10,0.0294,-0.0588,0.0098,0,0,-40
1742750916.9953842,79,10,0.0098,-0.0686,0.0392,0,0,-40
1742750917.4971566,79,10,0.0,-0.0882,-0.098,0,0,-40
1742750917.999022,79,10,0.0098,-0.0686,0.049,0,0,-40
1742750918.5007021,79,10,0.0,-0.098,0.0294,0,0,-40
1742750919.0017116,79,10,0.0196,-0.0882,0.0098,0,0,-40
1742750919.5037756,78,10,0.0,-0.0784,0.0294,0,0,-40
1742750920.0051634,78,10,0.0098,-0.0686,0.0196,0,0,-40
1742750920.5070176,78,10,0.0098,-0.0784,0.0294,0,0,-40
1742750921.0095637,78,10,0.0098,-0.0882,0.0294,0,0,-40
1742750921.5110173,78,10,0.0196,-0.0784,0.0196,0,0,-40
1742750922.0131526,78,10,0.0,-0.0882,0.0098,0,0,-40
1742750922.514146,78,10,0.0196,-0.0784,0.0294,0,0,-40
1742750923.0169024,78,10,0.0196,-0.0784,0.0196,0,0,-40
1742750923.5181632,78,10,0.0,-0.0784,0.0196,0,0,-40
1742750924.0202541,78,10,0.0196,-0.0882,0.0392,0,0,-40
1742750924.522897,78,10,0.0196,-0.0882,0.0,0,0,-40
1742750925.024312,78,10,0.0098,-0.0784,0.0294,0,0,-40
1742750925.5262215,78,10,0.0196,-0.0784,0.0098,0,0,-40
1742750926.0286438,78,10,0.0,-0.0784,0.0098,0,0,-40
1742750926.5293336,78,10,0.0196,-0.0882,0.0196,0,0,-40
1742750927.0305908,78,10,0.0196,-0.0882,0.0196,0,0,-40
1742750927.5325878,78,10,0.0196,-0.0882,0.0196,0,0,-40
1742750928.0339255,78,10,0.0,-0.0882,0.0196,0,0,-40
1742750928.5355601,78,10,0.0,-0.0784,0.0294,0,0,-40
1742750929.0363548,78,10,0.0098,-0.098,0.0098,0,0,-40
1742750929.5384324,78,10,0.0098,-0.098,0.0294,0,0,-40
1742750930.040384,78,10,0.0,-0.0784,0.0098,0,0,-40
1742750930.5422544,78,10,0.0294,-0.0784,0.0196,0,0,-40
1742750931.0435648,78,10,0.0196,-0.0588,0.0,0,0,-40
1742750931.5455573,78,10,-0.245,0.1568,-0.0098,0,0,-41
1742750932.0472054,78,10,-0.049,-0.098,0.049,0,0,-58
1742750932.549935,78,10,0.2842,-0.1568,0.0,0,0,-66
1742750933.0511246,78,10,-0.3626,0.4018,0.049,0,0,-81
1742750933.5531912,78,10,-0.0588,-0.098,0.0392,0,0,-97
1742750934.0559895,78,10,0.0294,-0.098,0.0294,0,0,-116
1742750934.5573492,78,10,0.0294,-0.098,0.0098,0,0,-116
1742750935.0592391,78,10,0.0784,-0.049,-0.049,0,0,-116
1742750935.5618634,78,10,0.0098,0.48019999999999996,-0.3822,0,0,-103
1742750936.063039,78,10,6.8502,1.0584,3.2144,-9,45,-90
1742750936.566323,78,44,9.359,0.882,5.2528,-16,61,-91
1742750937.0682192,78,49,9.1728,0.9114,6.0956,-16,66,-89
1742750937.5707633,78,53,9.3394,0.5684,6.6248,-13,70,-84
1742750938.0735207,78,53,9.163,0.5194,7.0952,-12,72,-84
1742750938.5748518,78,52,9.408,0.4606,6.928599999999999,-8,70,-79
1742750939.0774474,78,44,6.8991999999999996,-0.147,4.8999999999999995,0,54,-68
1742750939.5796282,78,10,1.3524,0.0784,-0.1176,0,6,-68
1742750940.0816085,78,10,0.8036,-0.0588,-0.0294,1,3,-72
1742750940.5826552,78,10,1.0877999999999999,-0.2352,-0.245,3,2,-63
1742750941.0841782,78,10,0.8623999999999999,-0.1764,1.0486,5,2,-40
1742750941.5866065,78,10,1.5777999999999999,-0.0098,0.20579999999999998,1,4,-29
1742750942.0880601,78,10,-0.3038,-0.147,-0.098,0,0,-6
1742750942.5900989,78,10,0.0294,-0.0196,0.049,0,0,-2
1742750943.091418,78,10,0.0196,-0.0098,0.0392,0,0,-2
1742750943.5942235,78,10,0.0098,-0.0098,0.0196,0,0,-2
1742750944.09678,78,10,0.0098,0.0,0.0196,0,0,-2
1742750944.5985029,78,10,0.0098,-0.0196,0.0392,0,0,-2
1742750945.1007237,78,10,0.0,0.0098,-0.0098,0,0,-2
1742750945.6025822,77,10,0.0,-0.0098,0.0392,0,0,-2
1742750946.1044374,77,10,0.0098,0.0,0.0098,0,0,-2
1742750946.6072152,77,10,0.0,-0.0098,0.0196,0,0,-2
1742750947.109284,77,10,0.0196,0.0,0.0392,0,0,-2
1742750947.6110876,77,10,0.0098,-0.0098,0.0294,0,0,-2
1742750948.113334,77,10,-0.3332,0.294,0.1176,0,0,-3
1742750948.615365,77,10,0.6566,-0.196,-0.0882,0,0,-35
1742750949.1176326,77,10,0.3332,-0.196,0.0098,0,0,-50
1742750949.6193402,77,10,-0.0098,-0.0588,0.0098,0,0,-57
1742750950.121736,77,10,0.1176,-0.0882,0.0,0,0,-64
1742750950.6234276,77,10,0.0588,-0.12739999999999999,0.0098,0,0,-69
1742750951.124469,77,10,0.49979999999999997,-0.5292,-0.0882,0,0,-93
1742750951.6278372,77,10,0.0588,-0.098,0.0294,0,0,-114
1742750952.1305852,77,10,0.0588,-0.0588,-0.0294,0,0,-120
1742750952.6327744,77,10,0.0294,-0.0882,0.0196,0,0,-123
1742750953.136307,77,10,0.0392,-0.098,0.0294,0,0,-129
1742750953.638884,77,10,-0.3626,0.5292,0.0196,0,0,-110
1742750954.1410868,77,10,0.0784,0.1176,-0.0098,0,0,-77
1742750954.6434221,77,10,-0.0098,-0.098,0.0392,0,0,-50
1742750955.146314,77,10,0.10779999999999999,-0.1176,0.0196,0,0,-32
1742750955.648954,77,10,0.41159999999999997,-0.0588,-0.049,0,0,-15
1742750956.152181,77,10,-0.20579999999999998,0.0686,-0.0196,0,0,13
1742750956.6543715,77,10,-0.0882,0.1176,0.098,0,0,26
1742750957.157057,77,10,0.147,0.1666,-0.20579999999999998,0,0,35
1742750957.6584363,77,10,0.0098,0.0294,0.0,0,0,35
1742750958.1602678,77,10,0.0588,0.1862,0.0098,-1,0,38
1742750958.662094,77,10,0.147,0.0294,-0.0098,-1,0,62
1742750959.165007,77,10,-0.1176,0.1666,-0.0098,-1,0,81
1742750959.6666603,77,10,0.1568,-0.0098,-0.049,-1,0,104
1742750960.1686234,77,10,0.34299999999999997,-0.245,0.0196,-1,0,120
