time,battery,height_h,ax,ay,az,roll,pitch,yaw
1742751910.2054822,67,0,2.4108,-5.292,-7.4382,35,14,17
1742751910.706828,67,0,2.548,-5.448799999999999,-7.7616,35,13,16
1742751911.2092674,67,0,3.9396,-5.380199999999999,-7.271599999999999,35,22,29
1742751911.7104099,67,0,3.1262,-3.1458,-7.987,28,32,-6
1742751912.2113864,67,0,2.3813999999999997,-1.9502,-10.1234,11,12,-64
1742751912.715168,67,0,0.3332,-0.8917999999999999,-9.6922,4,7,-43
1742751913.2181928,66,0,0.882,-0.833,-8.3006,5,9,-46
1742751913.7312217,66,0,0.9603999999999999,-0.196,-9.7412,3,3,-53
1742751914.2771046,66,0,0.0098,0.0686,-9.7804,0,0,-58
1742751914.7791634,66,0,0.0,0.0882,-9.799999999999999,0,0,-58
1742751915.281341,66,0,0.0098,0.0784,-9.8196,0,0,-58
1742751915.7835178,66,0,0.0,0.0784,-9.8196,0,0,-58
1742751916.284975,66,0,0.0098,0.0784,-9.8098,0,0,-58
1742751916.7864249,66,0,-0.0098,0.0588,-9.799999999999999,0,0,-58
1742751917.288676,66,0,-0.0098,0.0588,-9.799999999999999,0,0,-58
1742751917.789936,66,0,0.0,0.049,-9.799999999999999,0,0,-58
1742751918.2924423,66,0,-0.0098,0.0588,-9.799999999999999,0,0,-58
1742751918.7953749,66,0,0.0,0.0784,-9.8098,0,0,-58
1742751919.2966726,66,0,0.0,0.0686,-9.8196,0,0,-58
1742751919.7991354,66,0,0.0098,0.0686,-9.8196,0,0,-58
1742751920.3006058,66,0,0.0,0.0686,-9.8294,0,0,-58
1742751920.8014255,66,0,0.0,0.0686,-9.7902,0,0,-58
1742751921.303068,66,0,0.0,0.0686,-9.799999999999999,0,0,-58
1742751921.8043554,66,0,0.0,0.0588,-9.7706,0,0,-58
1742751922.305832,66,0,0.0,0.049,-9.799999999999999,0,0,-58
1742751922.8068414,66,0,0.0,0.0686,-9.7804,0,0,-58
1742751923.327262,66,0,0.0,0.0588,-9.799999999999999,0,0,-58
1742751923.864244,66,0,0.0,0.049,-9.8098,0,0,-58
1742751924.3655128,66,0,0.0,0.0686,-9.7804,0,0,-58
1742751924.8664117,66,0,0.0,0.0686,-9.8294,0,0,-58
1742751925.3685627,66,0,0.0,0.0686,-9.8196,0,0,-58
1742751925.870944,66,0,-0.0098,0.0686,-9.7902,0,0,-58
1742751926.3723423,66,0,0.0098,0.049,-9.799999999999999,0,0,-58
1742751926.874471,66,0,0.0,0.0686,-9.799999999999999,0,0,-58
1742751927.3762825,66,0,0.0,0.0588,-9.7706,0,0,-58
1742751927.877209,66,0,0.0,0.0686,-9.8098,0,0,-58
1742751928.3788974,66,0,0.0,0.0588,-9.799999999999999,0,0,-58
1742751928.8809636,66,0,-0.0196,0.0588,-9.7902,0,0,-58
1742751929.382186,66,0,0.0,0.049,-9.7902,0,0,-58
1742751929.8831859,66,0,-0.0098,0.0882,-9.8294,0,0,-58
1742751930.3849542,66,0,-0.0098,0.0588,-9.7902,0,0,-58
1742751930.8873456,66,0,-0.0098,0.0686,-9.7804,0,0,-58
1742751931.3886454,66,0,0.0,0.049,-9.7804,0,0,-58
1742751931.889738,66,0,0.0,0.0588,-9.799999999999999,0,0,-58
1742751932.3914437,66,0,0.0,0.0784,-9.799999999999999,0,0,-58
1742751932.8945541,66,0,0.0,0.0686,-9.799999999999999,0,0,-58
1742751933.3959794,66,0,-0.0098,0.0588,-9.8098,0,0,-58
1742751933.8979726,66,0,0.0,0.0686,-9.799999999999999,0,0,-58
1742751934.3995638,66,0,0.0,0.0686,-9.8098,0,0,-58
1742751934.9004307,66,0,0.0,0.0686,-9.7902,0,0,-58
1742751935.4018555,66,0,0.0,0.0686,-9.7804,0,0,-58
1742751935.9033263,66,0,0.0098,0.0882,-9.799999999999999,0,0,-58
1742751936.4048417,66,0,0.0,0.0686,-9.7902,0,0,-58
1742751936.9057546,66,0,0.0098,0.0882,-9.8196,0,0,-58
1742751937.4083111,66,0,0.0098,0.0686,-9.8196,0,0,-58
1742751937.9101183,66,0,0.0098,0.0882,-9.7902,0,0,-58
1742751938.4133058,66,0,0.0,0.098,-9.8392,0,0,-58
1742751938.9147804,66,0,0.0098,0.0686,-9.799999999999999,0,0,-58
1742751939.416149,66,0,0.0,0.0882,-9.7804,0,0,-58
1742751939.9186761,66,0,0.0,0.0784,-9.799999999999999,0,0,-58
1742751940.4203243,66,0,0.0,0.0686,-9.7804,0,0,-58
1742751940.9213233,66,0,0.0,0.0784,-9.7902,0,0,-58
1742751941.422327,66,0,0.0,0.0882,-9.8196,0,0,-58
1742751941.9393246,66,0,0.0,0.0784,-9.799999999999999,0,0,-58
1742751942.4912028,66,0,0.0196,0.0882,-9.7902,0,0,-58
1742751942.993734,66,0,0.0196,0.0784,-9.7902,0,0,-58
1742751943.4951437,66,0,0.147,0.0882,-9.731399999999999,0,0,-58
1742751943.9974248,66,0,0.0196,0.0686,-9.7804,0,0,-58
1742751944.4994273,66,20,4.1944,0.6076,-4.2924,25,45,-40
1742751945.0005627,66,30,4.2139999999999995,-7.0756,-5.4586,50,27,25
1742751945.5024827,66,0,-1.2838,-9.702,-6.6248,63,-3,27
1742751946.0053766,66,0,4.3904,-8.8984,4.4394,132,22,-178
1742751946.507211,66,0,7.8008,1.47,-8.976799999999999,-3,34,-23
1742751947.0088685,66,0,1.47,-0.5095999999999999,-10.241,1,1,-96
1742751947.5110972,66,0,0.0,0.0686,-9.8196,0,0,-57
1742751948.0157132,66,0,0.0392,0.1372,-9.8784,0,0,-58
1742751948.5192478,66,0,0.0098,0.12739999999999999,-9.7706,0,0,-51
1742751949.0215027,66,0,0.0,0.0784,-9.7902,0,0,-51
1742751949.5233083,66,0,0.0,0.0784,-9.799999999999999,0,0,-51
1742751950.0258973,66,0,0.0,0.0882,-9.799999999999999,0,0,-51
1742751950.5278945,66,0,-0.0196,0.0784,-9.799999999999999,0,0,-51
1742751951.0296774,66,0,0.147,0.1862,-10.1822,0,0,-51
1742751951.5313783,66,30,0.2646,1.2838,-4.6255999999999995,18,7,-35
1742751952.03281,66,60,0.32339999999999997,-3.7729999999999997,-8.918,22,5,-41
1742751952.5352607,66,0,1.9991999999999999,-4.5178,-8.1634,28,7,-65
1742751953.0374174,66,0,1.9502,-3.8318,-7.7322,25,2,-75
1742751953.5388794,66,0,0.2254,-1.5091999999999999,-9.849,10,-6,-59
1742751954.0400925,66,0,-0.833,-0.4214,-10.0646,6,-4,-32
1742751954.5418158,66,0,-0.4508,-1.9893999999999998,-9.045399999999999,19,0,-10
1742751955.0435047,66,0,-0.8917999999999999,-1.9207999999999998,-9.9274,8,8,2
1742751955.5448434,66,-20,1.9012,1.911,-9.8392,0,9,-32
1742751956.0476465,66,0,2.2932,0.3724,-8.7612,1,10,-59
1742751956.5494077,66,0,1.0094,-0.3136,-9.947,0,8,-56
1742751957.0519621,66,0,0.0686,-0.6076,-9.7902,3,3,-40
1742751957.5539975,66,0,0.5292,-0.6467999999999999,-9.7216,3,2,-39
1742751958.0556686,66,0,0.21559999999999999,-0.3822,-10.045,3,1,-41
1742751958.55866,66,0,0.0,0.098,-9.799999999999999,0,0,-40
1742751959.0600846,66,0,0.0,0.0882,-9.7902,0,0,-40
1742751959.5616589,66,0,0.0,0.10779999999999999,-9.7804,0,0,-40
1742751960.0626533,66,0,0.0,0.10779999999999999,-9.7608,0,0,-40
1742751960.5643382,66,0,-0.0098,0.0882,-9.7902,0,0,-40
1742751961.0664089,66,0,0.0,0.098,-9.7608,0,0,-40
1742751961.5681026,66,0,0.0,0.098,-9.8294,0,0,-40
1742751962.0691094,66,0,0.0,0.0882,-9.799999999999999,0,0,-40
1742751962.5706398,66,0,0.0,0.0882,-9.7902,0,0,-40
1742751963.0720534,66,0,0.0,0.10779999999999999,-9.7902,0,0,-40
1742751963.5735824,66,0,-0.0098,0.0784,-9.8392,0,0,-40
1742751964.0748599,66,0,-0.0098,0.098,-9.7902,0,0,-40
1742751964.5762331,66,0,0.0098,0.098,-9.8098,0,0,-40
1742751965.0789347,66,0,0.0,0.0882,-9.8098,0,0,-40
1742751965.5808923,66,0,0.0098,0.0882,-9.7902,0,0,-40
