ax,ay,az,time,battery,height,roll,pitch,yaw,vx,vy,vz
544.0,-68.0,69.0,1742754590.8592763,47,0,6,23,15,0,0,0
376.0,-114.0,142.0,1742754591.1101837,47,0,9,10,5,0,0,0
180.0,-231.0,-59.0,1742754591.3609624,47,0,13,7,6,0,0,-1
315.0,-279.0,47.0,1742754591.6131604,47,0,38,36,52,0,4,-3
181.0,-445.0,504.0,1742754591.8654766,47,0,41,28,65,0,1,3
-79.0,-340.0,280.0,1742754592.1169825,47,-10,8,16,8,0,-2,5
68.0,-101.0,-266.0,1742754592.3688967,47,-20,5,14,-39,-2,-2,0
377.0,180.0,156.0,1742754592.6207592,47,0,-1,20,-72,0,0,3
358.0,47.0,-100.0,1742754592.8716888,47,0,-2,16,-56,1,0,3
234.0,-80.0,-31.0,1742754593.12347,47,0,0,11,-38,2,0,0
189.0,-37.0,61.0,1742754593.37555,47,0,4,5,-13,2,0,0
118.0,-52.0,36.0,1742754593.627403,47,0,4,9,-3,1,0,0
137.0,-114.0,-74.0,1742754593.878436,47,0,4,6,-8,0,0,0
90.0,-202.0,-331.0,1742754594.130357,47,0,6,5,-9,0,0,-3
-49.0,-148.0,184.0,1742754594.3824978,47,20,10,0,-3,1,0,-8
-62.0,-218.0,308.0,1742754594.6333501,47,30,18,-3,-4,0,0,-5
-79.0,-327.0,58.0,1742754594.884507,47,30,17,-4,-7,0,0,0
-120.0,-363.0,20.0,1742754595.1364055,47,0,19,-4,-7,0,0,0
-40.0,-325.0,93.0,1742754595.3881347,47,0,19,-4,-8,0,0,1
-66.0,-306.0,101.0,1742754595.6393547,47,0,18,-3,-3,0,0,0
-36.0,-355.0,-2.0,1742754595.8915594,47,0,18,-3,-3,0,0,0
-131.0,-383.0,72.0,1742754596.143553,47,0,18,-4,-2,0,0,0
-139.0,-321.0,22.0,1742754596.3956282,47,0,19,-7,-4,0,0,0
-65.0,-313.0,53.0,1742754596.6468086,47,0,19,-4,-4,-1,0,-1
-15.0,-460.0,-87.0,1742754596.8978462,47,0,20,-5,-6,0,0,-2
-129.0,-432.0,283.0,1742754597.1495032,47,0,25,-3,-5,1,0,-1
1.0,-6.0,986.0,1742754597.401859,47,0,17,-1,-7,0,0,4
1115.0,1064.0,884.0,1742754597.6536398,47,-50,-3,7,-18,0,0,32
403.0,269.0,43.0,1742754597.9047954,47,-90,-11,10,-33,-2,-1,9
210.0,187.0,-71.0,1742754598.156505,47,-100,-16,11,-35,0,0,7
110.0,195.0,71.0,1742754598.4082842,47,-100,-14,7,-37,-1,-1,5
87.0,221.0,39.0,1742754598.6594212,47,-110,-14,6,-37,-1,-1,4
